Role,Education,Experience,Salary,Role_Encoded,Education_Encoded
Analyst,Bachelor's,14,2935500.0,4,0
Data Scientist,PhD,22,19368100.0,22,2
Manager,PhD,23,32521200.0,43,2
Manager,Master's,20,18808200.0,43,1
Data Scientist,Master's,5,2298400.0,22,1
HR,Bachelor's,16,3072900.0,34,0
Manager,PhD,9,6654100.0,43,2
Manager,PhD,19,20669800.0,43,2
Software Engineer,PhD,4,2008300.0,62,2
Data Scientist,Bachelor's,27,21326800.0,22,0
Data Scientist,Master's,8,3222600.0,22,1
Analyst,Bachelor's,7,1320900.0,4,0
Manager,Master's,16,11958400.0,43,1
Data Scientist,Master's,5,2284900.0,22,1
Data Scientist,Master's,28,31052700.0,22,1
Analyst,Bachelor's,29,16050800.0,4,0
HR,Bachelor's,17,3444700.0,34,0
Software Engineer,Bachelor's,8,1986100.0,62,0
HR,PhD,12,3113400.0,34,2
Manager,PhD,16,14716000.0,43,2
Manager,PhD,0,2403500.0,43,2
Data Scientist,Bachelor's,27,21325700.0,22,0
Software Engineer,Master's,0,1039100.0,62,1
HR,PhD,11,2780800.0,34,2
Manager,PhD,0,2401600.0,43,2
Manager,Bachelor's,4,2359900.0,43,0
Data Scientist,PhD,13,6998500.0,22,2
Data Scientist,Master's,27,27717700.0,22,1
HR,PhD,6,1592200.0,34,2
Analyst,Master's,4,1222200.0,4,1
HR,PhD,10,2492800.0,34,2
Analyst,Master's,9,2167100.0,4,1
HR,Master's,24,9865600.0,34,1
Analyst,Master's,29,20860200.0,4,1
Manager,Master's,22,23594100.0,43,1
Software Engineer,Bachelor's,24,12146300.0,62,0
Manager,Master's,24,29599800.0,43,1
Manager,Bachelor's,29,40126200.0,43,0
HR,Bachelor's,18,3840400.0,34,0
Manager,Master's,23,26423000.0,43,1
Software Engineer,Bachelor's,29,21399900.0,62,0
Software Engineer,Bachelor's,16,4895900.0,62,0
Software Engineer,PhD,16,7846600.0,62,2
HR,Bachelor's,0,501700.0,34,0
Manager,Master's,1,2171500.0,43,1
Analyst,PhD,10,2989000.0,4,2
Manager,Bachelor's,5,2650500.0,43,0
Manager,PhD,15,13129500.0,43,2
Software Engineer,Bachelor's,27,17069600.0,62,0
Manager,PhD,3,3372200.0,43,2
Manager,Master's,2,2443400.0,43,1
Analyst,Bachelor's,0,605500.0,4,0
Data Scientist,Bachelor's,10,3101900.0,22,0
Data Scientist,PhD,6,3156500.0,22,2
Analyst,Master's,15,4276200.0,4,1
Data Scientist,Bachelor's,15,5486300.0,22,0
Analyst,Bachelor's,4,943400.0,4,0
Software Engineer,PhD,18,9844100.0,62,2
Manager,Master's,23,26431300.0,43,1
Software Engineer,PhD,24,19437600.0,62,2
HR,Master's,13,2845600.0,34,1
HR,Bachelor's,3,704800.0,34,0
Software Engineer,Bachelor's,13,3496600.0,62,0
Manager,Bachelor's,0,1495900.0,43,0
Analyst,PhD,18,7375800.0,4,2
HR,PhD,21,8646700.0,34,2
Manager,PhD,1,2694500.0,43,2
Software Engineer,Bachelor's,27,17053200.0,62,0
HR,PhD,3,1124200.0,34,2
Software Engineer,Master's,28,24838500.0,62,1
HR,Master's,2,818400.0,34,1
Manager,Bachelor's,19,12909400.0,43,0
HR,Bachelor's,22,6049600.0,34,0
Data Scientist,Bachelor's,9,2764300.0,22,0
Data Scientist,PhD,7,3531400.0,22,2
Manager,Master's,1,2190900.0,43,1
Data Scientist,Bachelor's,7,2216100.0,22,0
HR,Master's,22,7870500.0,34,1
Data Scientist,PhD,17,10988200.0,22,2
HR,Bachelor's,7,1124600.0,34,0
Analyst,PhD,22,11616600.0,4,2
Manager,Bachelor's,25,25498000.0,43,0
HR,Master's,25,11048000.0,34,1
Data Scientist,Master's,14,6356200.0,22,1
Manager,Bachelor's,0,1497300.0,43,0
Analyst,Bachelor's,6,1188200.0,4,0
Analyst,Master's,12,3037000.0,4,1
Manager,PhD,7,5299200.0,43,2
Analyst,Bachelor's,17,4109500.0,4,0
Software Engineer,PhD,18,9844100.0,62,2
Analyst,Master's,22,9434600.0,4,1
Software Engineer,Bachelor's,0,797100.0,62,0
Data Scientist,Master's,0,1292300.0,22,1
Software Engineer,Bachelor's,20,7715300.0,62,0
Software Engineer,Bachelor's,6,1575100.0,62,0
HR,PhD,2,1013100.0,34,2
Analyst,Master's,15,4266000.0,4,1
Software Engineer,Master's,13,4536700.0,62,1
Analyst,Bachelor's,11,2084400.0,4,0
HR,PhD,25,13605500.0,34,2
Data Scientist,Master's,4,2044000.0,22,1
Data Scientist,Master's,18,9999600.0,22,1
Data Scientist,Bachelor's,23,13547400.0,22,0
Data Scientist,Bachelor's,27,21327200.0,22,0
Manager,Master's,2,2443000.0,43,1
Manager,PhD,4,3787000.0,43,2
Analyst,PhD,0,961400.0,4,2
Software Engineer,Master's,7,2296000.0,62,1
HR,Master's,9,1799400.0,34,1
HR,Master's,12,2530600.0,34,1
Manager,Bachelor's,23,20332600.0,43,0
Software Engineer,Master's,4,1639600.0,62,1
Software Engineer,PhD,16,7843800.0,62,2
Software Engineer,PhD,23,17348900.0,62,2
HR,Bachelor's,22,6054300.0,34,0
Software Engineer,Master's,16,6379700.0,62,1
Software Engineer,Master's,19,8954700.0,62,1
Manager,PhD,16,14717700.0,43,2
Analyst,Bachelor's,8,1483500.0,4,0
Analyst,Master's,19,6722900.0,4,1
Manager,Master's,14,9535500.0,43,1
HR,Bachelor's,22,6060900.0,34,0
Software Engineer,PhD,12,4988500.0,62,2
Manager,Master's,14,9538200.0,43,1
Analyst,Bachelor's,9,1664300.0,4,0
HR,Master's,8,1609800.0,34,1
Data Scientist,PhD,25,27200300.0,22,2
Manager,Bachelor's,0,1494100.0,43,0
Analyst,Bachelor's,6,1180700.0,4,0
HR,Master's,6,1281900.0,34,1
Manager,Master's,25,33146500.0,43,1
HR,Bachelor's,17,3423600.0,34,0
Analyst,Master's,25,13264300.0,4,1
Software Engineer,PhD,0,1283800.0,62,2
Manager,Bachelor's,27,31986800.0,43,0
Software Engineer,Bachelor's,23,10843900.0,62,0
Software Engineer,Master's,20,10032500.0,62,1
Manager,Bachelor's,3,2112300.0,43,0
Manager,PhD,19,20667100.0,43,2
Software Engineer,Bachelor's,21,8638200.0,62,0
Manager,PhD,24,36428000.0,43,2
Analyst,Bachelor's,7,1323400.0,4,0
Data Scientist,Master's,7,2879000.0,22,1
Analyst,Bachelor's,8,1476500.0,4,0
Analyst,PhD,21,10380300.0,4,2
HR,Bachelor's,13,2174300.0,34,0
Manager,Bachelor's,5,2636900.0,43,0
Data Scientist,PhD,12,6242700.0,22,2
HR,PhD,23,10847800.0,34,2
Software Engineer,PhD,20,12344900.0,62,2
Data Scientist,PhD,24,24285200.0,22,2
Manager,PhD,0,2406200.0,43,2
HR,PhD,5,1411600.0,34,2
